timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820055,node,sched_lat,1836,22.98,12296,6,15,46,42189,0,0,0.0000
1768820055,node,epoll_pwait,862,2203.92,498535,0,9067,27077,1899782,0,0,0.0000
1768820055,node,softirq,713,4.02,82,0,19,66,2867,3562,0,0.0000
1768820055,node,runqlen,13,0.00,0,0,0,0,0,1181,0,0.0000
1768820055,node,nanosleep,230,2709.87,10148,92,10086,10121,623269,0,0,0.0000
1768820055,node,epoll_wait,47,45678.70,532558,1,173040,532558,2146899,0,0,0.0000
1768820055,node,poll,6008,276.26,508885,1,1,2,1659760,0,0,0.0000
1768820055,node,futex,64,20025.83,400009,12,100090,400009,1281653,0,2,0.0312
1768820055,node,io_qdepth,10,0.00,0,0,0,0,0,43,0,0.0000
1768820055,node,block_io,9,217.33,284,268,284,284,1956,28672,0,0.0000
1768820055,node,dstate_io,5,181.20,334,117,334,334,906,0,0,0.0000
1768820055,node,fdatasync,2,372.50,490,490,490,490,745,0,0,0.0000
1768820055,node,recvmsg,1,162.00,162,162,162,162,162,40,0,0.0000
1768820056,node,sched_lat,7278,8.59,1996,6,18,38,62536,0,0,0.0000
1768820056,node,futex,328,32541.54,1000389,98,100083,1000069,10673626,0,37,0.1128
1768820056,node,epoll_pwait,4417,2454.68,683467,0,8083,35077,10842321,0,0,0.0000
1768820056,node,softirq,2634,5.18,169,0,25,72,13651,11669,0,0.0000
1768820056,node,nanosleep,1219,3770.52,1000078,94,10083,10115,4596269,0,0,0.0000
1768820056,node,io_qdepth,15,0.00,0,0,0,0,0,51,0,0.0000
1768820056,node,block_io,15,145.93,213,140,213,213,2189,73728,0,0.0000
1768820056,node,connect,4,77.75,93,79,93,93,311,0,4,1.0000
1768820056,node,poll,6276,904.86,1000948,1,1,2,5678931,0,0,0.0000
1768820056,node,dstate_io,17,81.24,191,87,191,191,1381,0,0,0.0000
1768820056,node,epoll_wait,169,52648.12,1000207,1078,100169,308201,8897533,0,0,0.0000
1768820056,node,runqlen,65,0.00,0,0,0,0,0,26120,0,0.0000
1768820056,node,sendmsg,4,60.25,75,60,75,75,241,894,0,0.0000
1768820056,node,write,1,115.00,115,115,115,115,115,56,0,0.0000
1768820056,node,fdatasync,5,311.40,423,302,423,423,1557,0,0,0.0000
1768820056,node,read,6,552.33,1101,707,1101,1101,3314,325,0,0.0000
1768820056,node,sendto,2,55.00,57,57,57,57,110,40,0,0.0000
1768820056,node,recvmsg,3,50.33,51,50,51,51,151,160344,0,0.0000
1768820056,node,select,1,1000398.00,1000398,1000398,1000398,1000398,1000398,0,0,0.0000
1768820057,node,sched_lat,7368,11.91,3821,6,19,48,87738,0,0,0.0000
1768820057,node,nanosleep,726,11909.18,1000127,95,10086,10118,8646067,0,0,0.0000
1768820057,node,epoll_pwait,4562,2419.15,499546,0,5081,31149,11036177,0,0,0.0000
1768820057,node,softirq,2767,4.31,153,0,20,62,11922,12369,0,0.0000
1768820057,node,connect,3,82.67,93,88,93,93,248,0,3,1.0000
1768820057,node,futex,177,63217.61,1001307,1077,443918,1000089,11189517,0,42,0.2373
1768820057,node,dstate_io,22,179.77,789,114,735,789,3955,0,0,0.0000
1768820057,node,epoll_wait,290,47805.77,2003299,62,100156,1227191,13863673,0,0,0.0000
1768820057,node,runqlen,64,0.00,0,0,0,0,0,58914,0,0.0000
1768820057,node,select,2,1000907.50,1001041,1001041,1001041,1001041,2001815,0,0,0.0000
1768820057,node,poll,5842,1497.08,2000135,1,1,1085,8745934,0,0,0.0000
1768820057,node,pselect6,1,1001040.00,1001040,1001040,1001040,1001040,1001040,0,0,0.0000
1768820057,node,io_qdepth,19,0.00,0,0,0,0,0,70,0,0.0000
1768820057,node,block_io,16,135.06,241,121,241,241,2161,172032,0,0.0000
1768820057,node,fdatasync,3,359.33,470,364,470,470,1078,0,0,0.0000
1768820057,node,fsync,2,980.00,1048,1048,1048,1048,1960,0,0,0.0000
1768820057,node,sendto,2,65.50,72,72,72,72,131,40,0,0.0000
1768820057,node,sendmsg,1,87.00,87,87,87,87,87,323,0,0.0000
1768820058,node,poll,2140,5507.53,3002414,1,2,50004,11786115,0,0,0.0000
1768820058,node,sched_lat,13410,7.73,1870,6,14,29,103625,0,0,0.0000
1768820058,node,runqlen,65,0.00,0,0,0,0,0,109609,0,0.0000
1768820058,node,epoll_wait,155,63545.61,982218,100088,100178,502544,9849569,0,0,0.0000
1768820058,node,epoll_pwait,2485,5073.69,2507398,0,2081,47080,12608109,0,0,0.0000
1768820058,node,softirq,3310,3.92,135,0,19,46,12983,15990,0,0.0000
1768820058,node,nanosleep,1107,6829.65,1000088,89,10081,10100,7560428,0,0,0.0000
1768820058,node,connect,5,67.60,86,63,86,86,338,0,5,1.0000
1768820058,node,futex,255,50959.16,2162823,83,100098,1000088,12994586,0,57,0.2235
1768820058,node,select,2,1001032.00,1001036,1001036,1001036,1001036,2002064,0,0,0.0000
1768820058,node,dstate_io,34,123.94,757,92,334,757,4214,0,0,0.0000
1768820058,node,read,9,787.56,1164,708,1164,1164,7088,683,0,0.0000
1768820058,node,pselect6,1,1000838.00,1000838,1000838,1000838,1000838,1000838,0,0,0.0000
1768820058,node,sendmsg,3,77.67,93,79,93,93,233,1230,0,0.0000
1768820058,node,io_qdepth,30,0.00,0,0,0,0,0,192,0,0.0000
1768820058,node,block_io,29,183.59,292,161,289,292,5324,155648,0,0.0000
1768820058,node,fdatasync,9,448.44,1127,378,1127,1127,4036,0,0,0.0000
1768820058,node,sendto,2,61.50,62,62,62,62,123,40,0,0.0000
1768820058,node,recvmsg,6,53.67,61,53,61,61,322,48604,0,0.0000
1768820059,node,sched_lat,12426,9.36,5413,6,16,35,116349,0,0,0.0000
1768820059,node,softirq,3801,5.58,224,2,19,49,21217,15900,0,0.0000
1768820059,node,io_qdepth,63,0.00,0,0,0,0,0,822,0,0.0000
