Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-01-08 11:40:19,22.1811,12.8966,280.1570
2026-01-08 11:40:20,16.6459,9.5203,265.4392
2026-01-08 11:40:21,9.9087,11.9522,246.2998
2026-01-08 11:40:22,15.4439,11.5407,262.8512
2026-01-08 11:40:23,12.5000,9.3196,253.2694
2026-01-08 11:40:24,9.4470,15.3345,256.4543
2026-01-08 11:40:25,12.1127,11.9430,253.7558
2026-01-08 11:40:26,12.9944,12.0689,243.2558
2026-01-08 11:40:27,9.5693,13.8479,238.0120
2026-01-08 11:40:28,15.3262,9.7262,242.1990
2026-01-08 11:40:29,15.6665,12.4257,249.2822
2026-01-08 11:40:30,11.1812,8.8769,253.1551
2026-01-08 11:40:31,11.9537,11.6497,237.5339
2026-01-08 11:40:32,9.0096,12.7394,399.9488
2026-01-08 11:40:33,10.3045,11.7973,236.6269
2026-01-08 11:40:34,8.1235,9.3657,234.8105
2026-01-08 11:40:35,10.7565,9.2203,251.0473
2026-01-08 11:40:36,14.0872,12.3687,240.6303
2026-01-08 11:40:37,14.0329,11.4270,257.6879
2026-01-08 11:40:38,16.3451,13.5264,245.6204
2026-01-08 11:40:39,11.0899,12.0047,247.6611
2026-01-08 11:40:40,13.8570,13.3816,259.2497
2026-01-08 11:40:41,12.6499,9.0229,252.1329
2026-01-08 11:40:42,9.5072,11.5226,242.6990
2026-01-08 11:40:43,8.9595,13.0511,235.5558
2026-01-08 11:40:44,11.6760,8.1321,238.6949
2026-01-08 11:40:45,13.3128,8.6915,246.8004
2026-01-08 11:40:46,11.7995,12.1437,238.7915
2026-01-08 11:40:47,9.6906,8.5524,237.0475
2026-01-08 11:40:48,11.6791,14.0050,241.4340
2026-01-08 11:40:49,12.9751,9.4337,243.9596
2026-01-08 11:40:50,15.6075,9.7831,249.3957
2026-01-08 11:40:51,9.6892,21.6258,260.4488
2026-01-08 11:40:52,10.5635,17.9713,238.7543
2026-01-08 11:40:53,13.7835,9.9384,243.8950
2026-01-08 11:40:54,9.8237,9.5000,233.9212
2026-01-08 11:40:55,15.2491,11.1903,260.4340
2026-01-08 11:40:56,11.6710,13.3344,230.2466
2026-01-08 11:40:57,9.1505,11.6270,241.5022
2026-01-08 11:40:58,11.4028,14.3943,256.8910
2026-01-08 11:40:59,9.4633,10.6018,246.3162
2026-01-08 11:41:00,10.2855,10.2778,251.0174
2026-01-08 11:41:01,10.7257,10.2777,246.0775
2026-01-08 11:41:02,11.4199,12.0772,246.2028
2026-01-08 11:41:03,10.2446,10.6067,243.4003
2026-01-08 11:41:04,12.0369,9.2001,233.4385
2026-01-08 11:41:05,12.2053,8.8104,249.9287
2026-01-08 11:41:06,11.1056,14.2790,251.0437
2026-01-08 11:41:07,12.3855,14.6081,246.5404
2026-01-08 11:41:08,12.5413,9.3085,241.0024
2026-01-08 11:41:09,9.4075,9.3768,242.8130
2026-01-08 11:41:10,11.2634,10.0224,246.2048
2026-01-08 11:41:11,11.3115,8.2199,252.1863
2026-01-08 11:41:12,11.6847,9.6127,233.8651
2026-01-08 11:41:13,10.1263,13.3355,239.2759
2026-01-08 11:41:14,14.3168,10.8150,239.5799
2026-01-08 11:41:15,10.0076,7.5459,232.0510
2026-01-08 11:41:16,17.3060,9.0148,247.5439
2026-01-08 11:41:17,10.6541,12.9289,232.5258
2026-01-08 11:41:18,13.5103,8.3257,245.9923
2026-01-08 11:41:19,12.6595,10.7928,231.0552
2026-01-08 11:41:20,13.3991,13.1493,247.9827
2026-01-08 11:41:21,12.0230,12.3396,235.8857
2026-01-08 11:41:22,11.7563,11.7045,238.0724
2026-01-08 11:41:23,10.1886,8.5339,242.6779
2026-01-08 11:41:24,11.8569,13.7937,246.9881
2026-01-08 11:41:25,14.4065,11.6262,233.4748
2026-01-08 11:41:26,11.2805,11.6038,260.4697
2026-01-08 11:41:27,13.1328,9.6112,242.6605
2026-01-08 11:41:28,10.0944,9.1340,231.7563
2026-01-08 11:41:29,10.2093,10.1683,224.3986
2026-01-08 11:41:30,13.3529,11.2715,253.6176
2026-01-08 11:41:31,12.4115,11.3771,243.3226
2026-01-08 11:41:32,10.8373,7.0690,240.5648
2026-01-08 11:41:33,9.0478,12.5097,240.8701
2026-01-08 11:41:34,10.4845,11.6230,247.3972
2026-01-08 11:41:35,12.2412,10.9744,239.0951
2026-01-08 11:41:36,11.7488,8.4711,244.9226
2026-01-08 11:41:37,13.2410,8.3085,238.4435
2026-01-08 11:41:38,11.6935,10.7023,237.3589
2026-01-08 11:41:39,8.9503,11.4318,237.1140
2026-01-08 11:41:40,15.6063,9.9441,235.8744
2026-01-08 11:41:41,11.2973,11.3204,256.8691
2026-01-08 11:41:42,14.1215,11.3645,245.9021
2026-01-08 11:41:43,9.7724,14.0263,244.3337
2026-01-08 11:41:44,12.5915,10.7566,248.5964
2026-01-08 11:41:45,11.1851,9.3278,245.6141
2026-01-08 11:41:46,13.7768,9.9754,248.4254
2026-01-08 11:41:47,11.3592,10.5636,242.5856
2026-01-08 11:41:48,13.6775,11.3884,243.8552
2026-01-08 11:41:49,11.2417,7.9515,246.0592
2026-01-08 11:41:50,10.5944,12.7437,250.3906
2026-01-08 11:41:51,10.3300,7.3686,235.4451
2026-01-08 11:41:52,9.5644,15.1737,242.1337
2026-01-08 11:41:53,14.0347,8.8646,238.4991
2026-01-08 11:41:54,12.7360,6.3746,249.1993
2026-01-08 11:41:55,9.9681,14.1509,254.7518
2026-01-08 11:41:56,14.1634,11.3660,234.7938
2026-01-08 11:41:57,9.8761,11.2332,250.8344
2026-01-08 11:41:58,9.4868,10.4836,235.0300
2026-01-08 11:41:59,9.6160,9.8065,239.4046
2026-01-08 11:42:00,11.4503,9.1467,251.7028
2026-01-08 11:42:01,10.8869,9.7634,250.4032
2026-01-08 11:42:02,10.9844,11.8884,249.0698
2026-01-08 11:42:03,13.0017,11.3760,241.9226
2026-01-08 11:42:04,13.0344,13.3437,242.2059
2026-01-08 11:42:05,24.5775,7.9845,230.8962
2026-01-08 11:42:06,8.8534,13.0419,245.9107
2026-01-08 11:42:07,12.0730,9.3584,245.9360
2026-01-08 11:42:08,13.3732,13.5483,242.7954
2026-01-08 11:42:09,10.4032,17.4279,258.0543
2026-01-08 11:42:10,13.2970,5.6731,257.8922
2026-01-08 11:42:11,14.9567,10.9156,254.9117
2026-01-08 11:42:12,9.6621,10.6512,229.3744
2026-01-08 11:42:13,11.8584,8.6157,247.8946
2026-01-08 11:42:14,10.0961,7.4006,248.2227
2026-01-08 11:42:15,12.6417,10.9268,261.2260
2026-01-08 11:42:16,11.9058,6.9581,246.6507
2026-01-08 11:42:17,11.6418,10.6370,242.2608
2026-01-08 11:42:18,11.0739,8.6454,239.4624
2026-01-08 11:42:19,12.5066,14.0463,252.0291
2026-01-08 11:42:20,10.6532,9.6687,262.3541
2026-01-08 11:42:21,17.2511,9.1086,247.7955
2026-01-08 11:42:22,17.5096,12.6038,259.2910
2026-01-08 11:42:23,12.8341,13.4709,243.1369
2026-01-08 11:42:24,14.8531,7.1465,235.5942
2026-01-08 11:42:25,11.9054,14.1954,235.1535
2026-01-08 11:42:26,12.1889,9.0951,241.1625
2026-01-08 11:42:27,9.3999,10.4134,247.5074
2026-01-08 11:42:28,12.4797,9.9472,247.9646
2026-01-08 11:42:29,12.9639,10.6279,236.1597
2026-01-08 11:42:30,11.9383,12.5246,246.4547
2026-01-08 11:42:31,14.0865,8.2778,235.0415
2026-01-08 11:42:32,8.6408,10.1883,234.9377
2026-01-08 11:42:33,14.4891,11.7437,243.0706
2026-01-08 11:42:34,12.2182,10.7278,237.3461
2026-01-08 11:42:35,13.2511,9.8639,273.7982
2026-01-08 11:42:36,12.0871,11.0571,258.7237
2026-01-08 11:42:37,9.1524,12.2320,247.7840
2026-01-08 11:42:38,14.2194,9.7506,247.2113
2026-01-08 11:42:39,13.6167,19.7453,232.4298
2026-01-08 11:42:40,12.4578,7.9657,241.7181
2026-01-08 11:42:41,10.7341,12.3213,242.7139
2026-01-08 11:42:42,11.7554,13.0118,240.2697
2026-01-08 11:42:43,11.4597,11.9415,244.6962
2026-01-08 11:42:44,9.1733,10.6147,393.8387
2026-01-08 11:42:45,14.1479,10.8918,232.7889
2026-01-08 11:42:46,14.3821,9.2935,243.8845
2026-01-08 11:42:47,9.9127,6.2790,244.1781
2026-01-08 11:42:48,12.3830,7.3196,245.5972
2026-01-08 11:42:49,12.9604,10.0271,251.7010
2026-01-08 11:42:50,16.8576,9.9694,254.0822
2026-01-08 11:42:51,12.9892,12.8326,250.7911
2026-01-08 11:42:52,16.9208,9.7425,247.9621
2026-01-08 11:42:53,15.2170,11.5401,250.3727
2026-01-08 11:42:54,16.6427,11.1426,238.9602
2026-01-08 11:42:55,15.0143,12.7397,244.6884
2026-01-08 11:42:56,13.5548,10.7579,253.6696
2026-01-08 11:42:57,11.6297,8.6950,242.2629
2026-01-08 11:42:58,14.5069,8.4697,250.6771
2026-01-08 11:42:59,13.9229,10.8496,241.0249
2026-01-08 11:43:00,12.8281,13.0239,257.2051
2026-01-08 11:43:01,13.7089,9.8761,245.9981
2026-01-08 11:43:02,12.7995,13.2305,245.7151
2026-01-08 11:43:03,16.4621,12.6399,252.9289
2026-01-08 11:43:04,16.2828,9.4126,245.3469
2026-01-08 11:43:05,10.6169,12.9541,250.8994
2026-01-08 11:43:06,14.5188,11.6220,235.1237
2026-01-08 11:43:07,11.8506,9.5552,252.2901
2026-01-08 11:43:08,10.8750,14.6069,240.3731
2026-01-08 11:43:09,11.6188,8.5097,244.2354
2026-01-08 11:43:10,13.6837,13.4938,235.8843
2026-01-08 11:43:11,12.6815,16.4362,242.6670
2026-01-08 11:43:12,9.6817,8.7629,250.3985
2026-01-08 11:43:13,14.0283,12.5080,244.8143
2026-01-08 11:43:14,16.4656,10.2698,253.2965
2026-01-08 11:43:15,13.0793,12.8467,231.2502
2026-01-08 11:43:16,12.8591,12.0988,245.8157
2026-01-08 11:43:17,15.1907,10.1188,257.9320
2026-01-08 11:43:18,11.5437,7.9984,244.4126
2026-01-08 11:43:19,13.2211,9.3590,244.0576
2026-01-08 11:43:20,14.9793,13.3752,249.5145
2026-01-08 11:43:21,12.0367,12.0756,245.8805
2026-01-08 11:43:22,12.6901,8.2881,238.9367
2026-01-08 11:43:23,11.9900,10.9575,254.9424
2026-01-08 11:43:24,14.6888,15.1034,247.2865
2026-01-08 11:43:25,13.3321,13.7953,253.6809
2026-01-08 11:43:26,8.9151,13.6832,253.3246
2026-01-08 11:43:27,19.1567,12.9585,247.0850
2026-01-08 11:43:28,11.5891,13.1011,240.8982
2026-01-08 11:43:29,15.9803,9.2928,220.0558
2026-01-08 11:43:30,10.5145,9.5874,248.1172
2026-01-08 11:43:31,13.4145,11.1498,250.6623
2026-01-08 11:43:32,13.5851,13.9284,250.9607
2026-01-08 11:43:33,12.0173,13.9391,253.8258
2026-01-08 11:43:34,12.0159,10.6364,254.3028
2026-01-08 11:43:35,9.2566,13.1957,252.1172
2026-01-08 11:43:36,15.1763,10.2020,242.3876
2026-01-08 11:43:37,11.4552,12.8171,235.7150
2026-01-08 11:43:38,12.7507,14.0397,239.3211
2026-01-08 11:43:39,16.1805,11.3974,246.7561
2026-01-08 11:43:40,10.9958,8.7158,259.5161
2026-01-08 11:43:41,12.2544,11.5699,232.3829
2026-01-08 11:43:42,10.7505,9.6177,236.6793
2026-01-08 11:43:43,13.0025,8.5587,242.0156
2026-01-08 11:43:44,11.9346,8.5931,232.9148
2026-01-08 11:43:45,10.5645,11.2872,241.9300
2026-01-08 11:43:46,12.9936,9.1811,248.7152
2026-01-08 11:43:47,12.0012,9.1547,251.9593
2026-01-08 11:43:48,11.1023,8.7657,240.6431
2026-01-08 11:43:49,9.4728,12.6676,240.8347
2026-01-08 11:43:50,16.0234,15.3445,253.5553
2026-01-08 11:43:51,11.3135,12.9853,247.1964
2026-01-08 11:43:52,11.9218,15.2432,231.9169
2026-01-08 11:43:53,10.1364,8.7547,230.1417
2026-01-08 11:43:54,11.0864,7.5578,243.0820
2026-01-08 11:43:55,16.2375,11.2004,243.2486
2026-01-08 11:43:56,18.5814,9.2328,238.2619
2026-01-08 11:43:57,15.0405,11.8340,243.6332
2026-01-08 11:43:58,11.7346,10.9976,234.6212
